Name,RAS,Height,Weight,40,10,Vert,Broad,Shuttle
Terrence Murphy-2004,9.69,72.875,202,4.45,1.54,,,
Terrence Murphy-2003,9.69,72.875,202,4.45,1.54,,,
Anthony Gonzalez-2006,9.38,72,193,4.46,1.57,38,123,4.08
Greg Jennings-2005,8.11,71.125,197,4.46,1.56,36.5,117,4.18
Greg Jennings-2004,8.11,71.125,197,4.46,1.56,36.5,117,4.18
Greg Jennings-2003,8.11,71.125,197,4.46,1.56,36.5,117,4.18
Freddie Mitchell-2000,8.52,71.375,185,4.46,1.57,39.5,120,4.06
Kevin Ogletree-2008,8.81,72.5,196,4.46,1.61,36,122,4.08
Kevin Ogletree-2006,8.81,72.5,196,4.46,1.61,36,122,4.08
Derek Hagan-2005,9.68,73.75,208,4.46,1.52,36,124,4.07
Derek Hagan-2004,9.68,73.75,208,4.46,1.52,36,124,4.07
Derek Hagan-2003,9.68,73.75,208,4.46,1.52,36,124,4.07
Brandon Breazell-2007,3.96,71.625,160,4.47,1.57,30.5,115,
Dan Sheldon-2004,4.2,68.875,179,4.47,1.57,,,
Dan Sheldon-2002,4.2,68.875,179,4.47,1.57,,,
Quentin McCord-2000,5.39,70.125,191,4.48,1.57,36.5,112,4.18
Jeremy Maclin-2008,6.02,72.125,198,4.48,1.62,,,
Jeremy Maclin-2007,6.02,72.125,198,4.48,1.62,,,
Robert Ferguson-2000,8.59,73.25,205,4.48,1.54,36.5,120,4.07
Adrian Madise-2001,5.33,71.375,215,4.48,1.56,32,119,4.26
Brandon Jones-2003,7.42,73.375,208,4.48,1.59,42,127,4.48
Earl Bennett-2007,5.69,71.5,209,4.48,1.51,26,110,4.22
Earl Bennett-2006,5.69,71.5,209,4.48,1.51,26,110,4.22
Earl Bennett-2005,5.69,71.5,209,4.48,1.51,26,110,4.22
Vinny Sutherland-2000,4.84,68.625,192,4.48,1.58,32.5,,
Craig Bragg-2003,7.29,72.625,196,4.48,1.58,36,,
Craig Bragg-2002,7.29,72.625,196,4.48,1.58,36,,
Kendrick Starling-2002,7.91,72.625,193,4.48,1.53,31.5,119,3.88
Cedrick Wilson-2000,6.78,69.75,179,4.48,1.56,38,123,
Donnie Avery-2007,9.32,71,192,4.49,1.56,,,
Donnie Avery-2006,9.32,71,192,4.49,1.56,,,
Donnie Avery-2005,9.32,71,192,4.49,1.56,,,
Craig Davis-2006,7.68,73.375,207,4.49,1.61,,,
Craig Davis-2004,7.68,73.375,207,4.49,1.61,,,
James Hardy-2007,9.46,77.375,217,4.49,1.56,31.5,125,4.2
James Hardy-2006,9.46,77.375,217,4.49,1.56,31.5,125,4.2
James Hardy-2005,9.46,77.375,217,4.49,1.56,31.5,125,4.2
Keenan Burton-2007,8.87,72.5,201,4.49,1.56,38.5,125,4.2
Keenan Burton-2006,8.87,72.5,201,4.49,1.56,38.5,125,4.2
Aaron Kelly-2008,6.93,76.5,204,4.49,1.57,38,119,4.45
Aaron Kelly-2007,6.93,76.5,204,4.49,1.57,38,119,4.45
Aaron Kelly-2005,6.93,76.5,204,4.49,1.57,38,119,4.45
Marko Mitchell-2008,4.92,75.625,218,4.49,1.63,32,116,4.33
Marko Mitchell-2007,4.92,75.625,218,4.49,1.63,32,116,4.33
Dorien Bryant-2007,5.02,69.75,174,4.49,1.61,,119,4.24
Dorien Bryant-2006,5.02,69.75,174,4.49,1.61,,119,4.24
Dorien Bryant-2005,5.02,69.75,174,4.49,1.61,,119,4.24
Hank Baskett-2005,8.8,74.875,224,4.49,1.59,35,119,4.22
Hank Baskett-2004,8.8,74.875,224,4.49,1.59,35,119,4.22
Brian Poli-Dixon-2000,7.85,77,210,4.5,1.57,,,
Devard Darling-2003,6.84,73.125,213,4.5,1.61,37,129,
Devard Darling-2002,6.84,73.125,213,4.5,1.61,37,129,
Darius Reynaud-2007,8.34,69.25,201,4.5,1.53,34.5,130,4.32
Jeris McIntyre-2003,4.15,71.25,203,4.5,1.62,29,112,4.08
Margin Hooks-2000,5.53,70.625,191,4.5,1.59,36,116,4.18
Chandler Williams-2006,5.01,70.75,184,4.5,1.6,32.5,123,4.29
Chandler Williams-2005,5.01,70.75,184,4.5,1.6,32.5,123,4.29
Terrance Copper-2003,4.52,71.875,204,4.5,1.59,35.5,116,4.33
Shawn Mills-2000,4.77,72,180,4.51,1.6,34.5,116,4.15
Rashaun Woods-2003,8.9,74.125,202,4.51,1.63,39,125,3.97
Rashaun Woods-2002,8.9,74.125,202,4.51,1.63,39,125,3.97
Rashaun Woods-2001,8.9,74.125,202,4.51,1.63,39,125,3.97
Harry Douglas-2007,6.42,71.25,176,4.51,1.53,31,120,4.12
Harry Douglas-2006,6.42,71.25,176,4.51,1.53,31,120,4.12
Brandon Williams-2005,5.9,69.375,179,4.51,1.56,34.5,115,4.09
Brandon Williams-2004,5.9,69.375,179,4.51,1.56,34.5,115,4.09
Brandon Williams-2003,5.9,69.375,179,4.51,1.56,34.5,115,4.09
Brandon Williams-2002,5.9,69.375,179,4.51,1.56,34.5,115,4.09
Marcus Smith-2007,5.78,73.375,221,4.51,1.54,26.5,111,4.42
Marcus Smith-2006,5.78,73.375,221,4.51,1.54,26.5,111,4.42
Nate Burleson-2002,8.46,72.5,197,4.51,1.58,42.5,126,4.16
Nate Burleson-2001,8.46,72.5,197,4.51,1.58,42.5,126,4.16
Nate Burleson-2000,8.46,72.5,197,4.51,1.58,42.5,126,4.16
D.J. Hackett-2003,9.82,74.5,199,4.51,1.52,41,131,4.08
Reggie Brown-2004,8.24,73.625,196,4.51,1.62,41.5,128,4
Reggie Brown-2003,8.24,73.625,196,4.51,1.62,41.5,128,4
Jordy Nelson-2007,6.85,74.625,217,4.51,1.57,31,123,4.35
Jordy Nelson-2005,6.85,74.625,217,4.51,1.57,31,123,4.35
Kenneth Moore-2007,4.7,70.75,195,4.51,1.53,28,120,4.3
Justin McCareins-2000,9.63,73.75,209,4.51,1.58,41,129,3.99
Courtney Taylor-2006,8.27,73.75,204,4.51,1.52,36,122,4.28
Courtney Taylor-2004,8.27,73.75,204,4.51,1.52,36,122,4.28
Drisan James-2004,5.95,72,193,4.52,1.6,39,126,4.39
Travis Wilson-2004,9.07,74,214,4.52,1.6,36.5,120,4.03
Chris Davis-2006,6.12,70.25,181,4.52,1.57,35.5,115,4.14
Chris Davis-2005,6.12,70.25,181,4.52,1.57,35.5,115,4.14
Andrew Means-2007,5.72,72.625,214,4.52,1.63,34.5,116,4.21
Walter Young-2002,9.16,76.625,214,4.52,1.58,39,121,4.25
Walter Young-2001,9.16,76.625,214,4.52,1.58,39,121,4.25
Ryan Grice-Mullen-2007,5.89,70,187,4.53,1.55,27.5,118,4.16
Ryan Grice-Mullen-2006,5.89,70,187,4.53,1.55,27.5,118,4.16
Ryan Grice-Mullen-2005,5.89,70,187,4.53,1.55,27.5,118,4.16
Skyler Green-2003,5.26,69.125,192,4.53,1.58,34,118,
Kelly Campbell-2001,2.37,70.125,171,4.53,1.62,,,
Kelly Campbell-2000,2.37,70.125,171,4.53,1.62,,,
