Name,Recs,Yds,TDs,Msrecs,Msyards,MStds,RAS,Height,Weight,40,10,Vert,Broad,Shuttle,Round ,Pick,NFLCar,Starter,CarAV,GP,GS,NFLRecs,NFLYds,NFLTDs,Recs/Year,Yds/Year,Tds/Year
Aaron Kelly-2008,67,722,4,0.27016129,0.254943503,0.266666667,6.93,76.5,204,4.49,1.57,38,119,4.45,8,500,0,0,0,0,0,0,0,0,0,0,0
Aaron Kelly-2007,88,1081,11,0.298305085,0.343501748,0.366666667,6.93,76.5,204,4.49,1.57,38,119,4.45,8,500,0,0,0,0,0,0,0,0,0,0,0
Aaron Kelly-2005,47,575,2,0.189516129,0.20690896,0.142857143,6.93,76.5,204,4.49,1.57,38,119,4.45,8,500,0,0,0,0,0,0,0,0,0,0,0
Marko Mitchell-2008,61,1141,10,0.272321429,0.380333333,0.454545455,4.92,75.625,218,4.49,1.63,32,116,4.33,7,243,1,0,0,10,0,4,32,0,4,32,0
Marko Mitchell-2007,53,1129,8,0.263681592,0.342744384,0.275862069,4.92,75.625,218,4.49,1.63,32,116,4.33,7,243,1,0,0,10,0,4,32,0,4,32,0
Dorien Bryant-2007,87,936,8,0.235772358,0.234410218,0.266666667,5.02,69.75,174,4.49,1.61,,119,4.24,8,500,0,0,0,0,0,0,0,0,0,0,0
Dorien Bryant-2006,87,1068,6,0.270186335,0.261636453,0.25,5.02,69.75,174,4.49,1.61,,119,4.24,8,500,0,0,0,0,0,0,0,0,0,0,0
Dorien Bryant-2005,80,960,4,0.331950207,0.361037984,0.4,5.02,69.75,174,4.49,1.61,,119,4.24,8,500,0,0,0,0,0,0,0,0,0,0,0
Hank Baskett-2005,67,1071,9,0.35828877,0.49332105,0.5625,8.8,74.875,224,4.49,1.59,35,119,4.22,8,500,5,0,9,67,0,77,1098,6,15.4,219.6,1.2
Hank Baskett-2004,54,908,3,0.465517241,0.635409377,0.5,8.8,74.875,224,4.49,1.59,35,119,4.22,8,500,0,0,0,0,0,0,0,0,0,0,0
Brian Poli-Dixon-2000,46,700,5,0.234693878,0.241046832,0.217391304,7.85,77,210,4.5,1.57,,,,8,500,0,0,0,0,0,0,0,0,0,0,0
Devard Darling-2003,50,830,7,0.192307692,0.235394214,0.318181818,6.84,73.125,213,4.5,1.61,37,129,,3,82,5,1,4,46,10,37,578,4,7.4,115.6,0.8
Devard Darling-2002,54,800,11,0.197802198,0.210249671,0.366666667,6.84,73.125,213,4.5,1.61,37,129,,3,82,5,1,4,46,10,37,578,4,7.4,115.6,0.8
Darius Reynaud-2007,64,733,12,0.363636364,0.354620223,0.75,8.34,69.25,201,4.5,1.53,34.5,130,4.32,8,500,5,0,3,48,0,6,39,0,1.2,7.8,0
Jeris McIntyre-2003,41,621,3,0.202970297,0.2484994,0.3,4.15,71.25,203,4.5,1.62,29,112,4.08,6,195,0,0,0,0,0,0,0,0,0,0,0
Margin Hooks-2000,61,718,2,0.224264706,0.217905918,0.181818182,5.53,70.625,191,4.5,1.59,36,116,4.18,8,500,0,0,0,0,0,0,0,0,0,0,0
Chandler Williams-2006,67,664,1,0.304545455,0.313947991,0.2,5.01,70.75,184,4.5,1.6,32.5,123,4.29,7,233,0,0,0,0,0,0,0,0,0,0,0
Chandler Williams-2005,61,870,2,0.262931034,0.335260116,0.142857143,5.01,70.75,184,4.5,1.6,32.5,123,4.29,7,233,0,0,0,0,0,0,0,0,0,0,0
Terrance Copper-2003,87,897,2,0.412322275,0.432289157,0.333333333,4.52,71.875,204,4.5,1.59,35.5,116,4.33,8,500,9,0,10,125,0,84,1018,6,9.333333333,113.1111111,0.666666667
Shawn Mills-2000,55,713,5,0.273631841,0.293053843,0.333333333,4.77,72,180,4.51,1.6,34.5,116,4.15,8,500,0,0,0,0,0,0,0,0,0,0,0
Rashaun Woods-2003,77,1367,15,0.403141361,0.533775869,0.714285714,8.9,74.125,202,4.51,1.63,39,125,3.97,1,31,1,0,1,14,0,7,160,1,7,160,1
Rashaun Woods-2002,107,1695,17,0.440329218,0.496485062,0.53125,8.9,74.125,202,4.51,1.63,39,125,3.97,1,31,1,0,1,14,0,7,160,1,7,160,1
Rashaun Woods-2001,80,1023,10,0.372093023,0.436619718,0.714285714,8.9,74.125,202,4.51,1.63,39,125,3.97,1,31,1,0,1,14,0,7,160,1,7,160,1
Harry Douglas-2007,71,1159,7,0.224683544,0.282476237,0.233333333,6.42,71.25,176,4.51,1.53,31,120,4.12,3,84,10,2,31,118,40,310,3759,10,31,375.9,1
Harry Douglas-2006,70,1265,6,0.285714286,0.335543767,0.272727273,6.42,71.25,176,4.51,1.53,31,120,4.12,3,84,10,2,31,118,40,310,3759,10,31,375.9,1
Brandon Williams-2005,59,1095,6,0.295,0.368811047,0.272727273,5.9,69.375,179,4.51,1.56,34.5,115,4.09,3,84,2,0,0,23,0,0,0,0,0,0,0
Brandon Williams-2004,42,517,0,0.245614035,0.25772682,0,5.9,69.375,179,4.51,1.56,34.5,115,4.09,3,84,2,0,0,23,0,0,0,0,0,0,0
